employee,date,task_code,hours
AA,2025-09-04,S2-P1-B,4
AA,2025-09-05,S1-P2-A,4
AA,2025-09-10,S3-P1-A,4
AA,2025-09-19,S4-P3-A,4
AB,2025-09-05,S2-P1-D,8
AB,2025-09-07,S1-P2-D,10
AB,2025-09-08,S2-P2-D,12
AB,2025-09-11,S3-P2-D,10
AB,2025-09-12,S4-P1-D,12
AB,2025-09-13,S4-P2-D,8
AB,2025-09-17,S3-P3-B,12
AC,2025-09-05,S1-P2-A,4
AC,2025-09-07,S1-P2-A,4
AC,2025-09-11,S3-P2-C,12
AC,2025-09-12,S1-P4-A,10
AC,2025-09-13,S4-P2-A,4
AC,2025-09-15,S2-P3-A,4
AC,2025-09-16,S3-P3-A,12
AC,2025-09-22,S3-P4-A,10
AD,2025-09-08,S1-P3-B,8
AD,2025-09-12,S3-P2-B,8
AE,2025-09-08,S1-P3-C,10
AE,2025-09-11,S4-P1-C,12
AE,2025-09-24,S2-P4-C,4
AF,2025-09-01,S1-P1-A,12
AF,2025-09-08,S1-P3-C,8
AF,2025-09-09,S1-P3-A,4
AF,2025-09-11,S1-P3-C,8
AF,2025-09-13,S2-P3-A,8
AF,2025-09-16,S3-P3-C,8
AF,2025-09-20,S1-P4-A,4
AG,2025-09-01,S1-P1-B,8
AG,2025-09-06,S2-P1-B,12
AG,2025-09-11,S4-P1-B,12
AG,2025-09-13,S2-P3-B,10
AG,2025-09-14,S3-P2-B,8
AG,2025-09-19,S4-P3-B,4
AG,2025-09-22,S4-P4-B,12
AH,2025-09-01,S1-P1-D,12
AH,2025-09-07,S1-P2-D,8
AH,2025-09-08,S1-P3-D,8
AH,2025-09-15,S4-P2-D,12
AH,2025-09-25,S4-P4-D,4
AI,2025-09-01,S1-P1-C,4
AI,2025-09-08,S3-P1-C,12
AI,2025-09-10,S3-P1-C,4
AI,2025-09-11,S3-P2-A,4
AI,2025-09-13,S4-P2-C,12
AI,2025-09-16,S3-P3-A,8
AJ,2025-09-01,S1-P1-B,12
AJ,2025-09-08,S1-P3-B,10
AJ,2025-09-12,S4-P1-B,12
AK,2025-09-01,S1-P1-C,8
AK,2025-09-08,S3-P1-C,10
AK,2025-09-10,S1-P3-D,4
AK,2025-09-11,S1-P3-D,12
AK,2025-09-14,S1-P4-D,12
AK,2025-09-19,S4-P3-D,4
AK,2025-09-28,S4-P4-D,4
AL,2025-09-05,S1-P2-C,4
AL,2025-09-12,S1-P4-C,4
AL,2025-09-13,S2-P3-C,8
AL,2025-09-14,S2-P3-C,10
AL,2025-09-18,S2-P4-C,10
AL,2025-09-20,S3-P3-C,4
AL,2025-09-21,S3-P4-C,10
AL,2025-09-23,S4-P4-C,8
AM,2025-09-05,S1-P2-A,4
AM,2025-09-06,S1-P2-A,4
AM,2025-09-07,S1-P2-A,4
AM,2025-09-08,S3-P1-A,12
AM,2025-09-09,S3-P1-A,8
AM,2025-09-11,S1-P3-A,8
AM,2025-09-12,S4-P1-A,4
AN,2025-09-08,S2-P2-B,12
AN,2025-09-12,S2-P3-B,4
AN,2025-09-14,S1-P4-B,8
AN,2025-09-17,S2-P3-B,8
AN,2025-09-20,S2-P4-B,4
AO,2025-09-04,S2-P1-C,8
AO,2025-09-05,S2-P1-C,4
AO,2025-09-08,S1-P3-C,10
AO,2025-09-09,S1-P3-C,4
AO,2025-09-11,S1-P3-C,4
AO,2025-09-18,S4-P3-C,8
AP,2025-09-01,S1-P1-D,4
AP,2025-09-09,S1-P3-B,8
AP,2025-09-12,S2-P3-B,12
AP,2025-09-15,S3-P3-D,8
AP,2025-09-17,S4-P3-D,8
AP,2025-09-18,S2-P4-D,4
AP,2025-09-18,S4-P3-B,4
AP,2025-09-19,S3-P3-D,4
AP,2025-09-20,S4-P3-B,4
AQ,2025-09-04,S1-P2-B,4
AQ,2025-09-08,S1-P3-A,8
AQ,2025-09-10,S2-P2-A,4
AQ,2025-09-12,S2-P3-B,8
AQ,2025-09-15,S4-P2-A,4
AQ,2025-09-18,S4-P3-B,12
AR,2025-09-04,S1-P2-D,12
AR,2025-09-11,S3-P2-D,8
AR,2025-09-12,S3-P2-D,8
AR,2025-09-14,S3-P2-D,12
AR,2025-09-15,S4-P2-D,4
AR,2025-09-16,S3-P3-C,4
AR,2025-09-20,S3-P3-C,12
AS,2025-09-14,S2-P3-C,8
AS,2025-09-18,S2-P4-C,8
AS,2025-09-21,S2-P4-A,8
AS,2025-09-22,S4-P4-C,10
AT,2025-09-08,S1-P3-D,10
AT,2025-09-14,S2-P3-D,8
AT,2025-09-16,S3-P3-D,8
AT,2025-09-17,S4-P3-D,8
AT,2025-09-18,S2-P4-B,4
AT,2025-09-19,S4-P3-D,10
AT,2025-09-20,S2-P4-D,4
AT,2025-09-24,S4-P4-B,8
AT,2025-09-26,S4-P4-D,4
AT,2025-09-27,S3-P4-D,4
AU,2025-09-01,S1-P1-A,10
AU,2025-09-09,S3-P1-A,12
AU,2025-09-11,S4-P1-B,4
AU,2025-09-14,S3-P2-A,4
AU,2025-09-16,S1-P4-A,12
AU,2025-09-18,S2-P4-A,10
AU,2025-09-22,S4-P4-A,8
AV,2025-09-04,S1-P2-C,12
AV,2025-09-08,S2-P2-C,12
AV,2025-09-09,S3-P1-C,10
AV,2025-09-13,S3-P2-C,8
AV,2025-09-18,S4-P3-C,8
AW,2025-09-04,S1-P2-D,4
AW,2025-09-08,S3-P1-D,8
AW,2025-09-09,S2-P2-D,8
AW,2025-09-14,S4-P2-D,10
AX,2025-09-04,S1-P2-B,12
AX,2025-09-05,S1-P2-B,4
AX,2025-09-07,S2-P1-B,4
AX,2025-09-10,S3-P1-B,4
AX,2025-09-13,S4-P2-B,8
AX,2025-09-20,S4-P3-B,4
AX,2025-09-22,S3-P4-B,4
AY,2025-09-09,S3-P1-D,4
AY,2025-09-14,S1-P4-D,4
AY,2025-09-17,S4-P3-D,12
AY,2025-09-22,S3-P4-D,4
AY,2025-09-27,S3-P4-D,4
AZ,2025-09-04,S2-P1-C,12
AZ,2025-09-08,S3-P1-C,4
AZ,2025-09-13,S3-P2-C,12
AZ,2025-09-21,S3-P4-C,8
AZ,2025-09-23,S3-P4-C,4
AZ,2025-09-24,S2-P4-C,12
BA,2025-09-03,S1-P1-A,4
BA,2025-09-04,S2-P1-A,4
BA,2025-09-08,S3-P1-A,12
BA,2025-09-11,S3-P2-A,4
BA,2025-09-14,S3-P2-A,4
BA,2025-09-15,S2-P3-A,10
BA,2025-09-19,S4-P3-A,10
BA,2025-09-22,S2-P4-A,10
BB,2025-09-05,S1-P2-B,8
BB,2025-09-10,S1-P3-B,8
BB,2025-09-14,S3-P2-B,4
BB,2025-09-17,S3-P3-B,10
BB,2025-09-24,S3-P4-B,10
BC,2025-09-04,S2-P1-C,8
BC,2025-09-09,S2-P2-C,12
BC,2025-09-11,S3-P2-C,4
BC,2025-09-13,S1-P4-C,4
BC,2025-09-13,S3-P2-C,8
BC,2025-09-18,S2-P4-C,8
BC,2025-09-19,S2-P4-C,4
BC,2025-09-22,S3-P4-C,4
BD,2025-09-01,S1-P1-D,4
BD,2025-09-09,S3-P1-D,4
BD,2025-09-10,S1-P3-D,10
BD,2025-09-11,S1-P3-D,8
BD,2025-09-12,S2-P3-D,12
BD,2025-09-15,S3-P3-D,12
BD,2025-09-16,S1-P4-D,8
BE,2025-09-09,S2-P2-A,4
BE,2025-09-10,S2-P2-C,8
BE,2025-09-16,S1-P4-A,4
BE,2025-09-18,S4-P3-A,4
BE,2025-09-22,S2-P4-A,8
BF,2025-09-03,S1-P1-B,4
BF,2025-09-08,S3-P1-B,10
BF,2025-09-10,S2-P2-B,4
BF,2025-09-13,S2-P3-D,4
BF,2025-09-22,S3-P4-B,8
BG,2025-09-01,S1-P1-C,12
BG,2025-09-06,S2-P1-C,8
BG,2025-09-10,S3-P1-C,12
BG,2025-09-12,S4-P1-C,12
BG,2025-09-22,S4-P4-C,8
BI,2025-09-09,S1-P3-A,8
BI,2025-09-11,S4-P1-A,12
BI,2025-09-21,S3-P4-A,8
BI,2025-09-28,S4-P4-A,10
BJ,2025-09-08,S3-P1-B,4
BJ,2025-09-10,S2-P2-B,12
BJ,2025-09-12,S3-P2-B,10
BJ,2025-09-13,S2-P3-B,10
BJ,2025-09-15,S3-P3-B,4
BJ,2025-09-19,S4-P3-B,12
BJ,2025-09-20,S2-P4-B,10
BJ,2025-09-24,S4-P4-B,4
BK,2025-09-08,S2-P2-C,4
BK,2025-09-11,S4-P1-C,8
BK,2025-09-12,S1-P4-C,8
BK,2025-09-13,S1-P4-C,12
BK,2025-09-16,S3-P3-C,8
BK,2025-09-23,S4-P4-C,4
BL,2025-09-06,S1-P2-D,8
BL,2025-09-07,S2-P1-D,8
BL,2025-09-08,S3-P1-D,12
BL,2025-09-11,S2-P2-D,4
BL,2025-09-16,S1-P4-D,4
BM,2025-09-04,S2-P1-A,10
BM,2025-09-08,S1-P3-A,4
BM,2025-09-10,S3-P1-A,8
BM,2025-09-11,S2-P2-A,4
BM,2025-09-12,S1-P4-A,4
BM,2025-09-13,S4-P2-A,4
BM,2025-09-14,S2-P3-A,12
BM,2025-09-17,S4-P3-A,12
BM,2025-09-18,S3-P3-A,10
BM,2025-09-19,S2-P4-A,8
BM,2025-09-21,S3-P4-A,8
BM,2025-09-22,S4-P4-A,10
BM,2025-09-24,S3-P4-A,4
BN,2025-09-04,S1-P2-B,8
BN,2025-09-05,S2-P1-B,12
BN,2025-09-08,S2-P2-B,12
BN,2025-09-10,S1-P3-B,4
BN,2025-09-12,S3-P2-B,4
BN,2025-09-18,S1-P4-B,8
BO,2025-09-04,S1-P2-C,12
BO,2025-09-06,S2-P1-C,4
BO,2025-09-12,S1-P4-C,4
BO,2025-09-22,S4-P4-C,12
BP,2025-09-08,S2-P2-D,8
BP,2025-09-11,S4-P1-D,4
BP,2025-09-12,S3-P2-D,10
BP,2025-09-15,S3-P3-D,8
BP,2025-09-19,S2-P4-D,4
BP,2025-09-28,S4-P4-D,4
BQ,2025-09-05,S2-P1-A,4
BQ,2025-09-08,S2-P2-A,4
BQ,2025-09-10,S2-P2-A,4
BQ,2025-09-11,S2-P2-A,4
BQ,2025-09-12,S1-P4-A,10
BQ,2025-09-21,S4-P3-A,4
BR,2025-09-04,S1-P2-B,12
BR,2025-09-10,S2-P2-B,4
BR,2025-09-12,S1-P4-B,4
BR,2025-09-13,S4-P2-B,4
BR,2025-09-16,S4-P2-B,10
BR,2025-09-23,S4-P4-B,10
BS,2025-09-09,S2-P2-C,12
BS,2025-09-12,S1-P4-C,12
BS,2025-09-13,S1-P4-C,8
BS,2025-09-18,S4-P3-C,12
BS,2025-09-19,S3-P3-C,12
BS,2025-09-23,S3-P4-C,8
BT,2025-09-08,S2-P2-D,12
BT,2025-09-11,S4-P1-D,4
BT,2025-09-18,S2-P4-D,4
BT,2025-09-21,S3-P4-D,4
BU,2025-09-01,S1-P1-A,8
BU,2025-09-16,S2-P3-C,10
BU,2025-09-21,S3-P4-C,12
BV,2025-09-04,S2-P1-B,12
BV,2025-09-09,S3-P1-B,12
BV,2025-09-12,S2-P3-D,12
BV,2025-09-13,S1-P4-D,4
BV,2025-09-18,S2-P4-D,4
BV,2025-09-21,S3-P4-D,4
BV,2025-09-23,S4-P4-D,4
BW,2025-09-01,S1-P1-C,4
BW,2025-09-08,S3-P1-C,4
BW,2025-09-16,S4-P2-C,4
BW,2025-09-20,S3-P3-A,4
BX,2025-09-08,S1-P3-B,10
BX,2025-09-09,S1-P3-B,4
BX,2025-09-11,S3-P2-D,4
BX,2025-09-19,S3-P3-B,4
BX,2025-09-20,S3-P3-B,10
BX,2025-09-23,S4-P4-B,4
BX,2025-09-24,S3-P4-B,4
BY,2025-09-04,S2-P1-A,12
BY,2025-09-11,S3-P2-A,8
BY,2025-09-12,S4-P1-A,4
BY,2025-09-14,S4-P2-A,4
BY,2025-09-20,S3-P3-A,4
BY,2025-09-22,S4-P4-A,4
BY,2025-09-23,S4-P4-A,8
BZ,2025-09-03,S1-P1-B,8
BZ,2025-09-08,S3-P1-B,10
BZ,2025-09-09,S3-P1-B,12
BZ,2025-09-18,S4-P3-B,12
BZ,2025-09-19,S3-P3-B,10
BZ,2025-09-21,S3-P4-B,10
CA,2025-09-01,S1-P1-C,10
CA,2025-09-08,S2-P2-C,8
CA,2025-09-09,S1-P3-C,8
CA,2025-09-10,S2-P2-C,4
CA,2025-09-11,S4-P1-C,4
CA,2025-09-16,S4-P2-C,4
CA,2025-09-19,S3-P3-C,4
CA,2025-09-20,S4-P3-C,4
CB,2025-09-01,S1-P1-D,8
CB,2025-09-09,S1-P3-D,4
CB,2025-09-13,S1-P4-D,12
CB,2025-09-14,S1-P4-D,8
CC,2025-09-02,S1-P1-A,4
CC,2025-09-05,S2-P1-A,12
CC,2025-09-11,S4-P1-A,10
CC,2025-09-13,S3-P2-A,4
CC,2025-09-18,S2-P4-A,4
CC,2025-09-19,S2-P4-A,4
CC,2025-09-21,S2-P4-A,12
CC,2025-09-24,S3-P4-A,4
CD,2025-09-08,S2-P2-B,10
CD,2025-09-09,S1-P3-D,8
CD,2025-09-12,S4-P1-B,4
CD,2025-09-13,S3-P2-B,12
CD,2025-09-14,S1-P4-B,10
CD,2025-09-15,S3-P3-B,10
CD,2025-09-16,S4-P2-B,4
CD,2025-09-18,S1-P4-B,10
CD,2025-09-21,S3-P4-B,8
CE,2025-09-04,S1-P2-C,12
CE,2025-09-05,S1-P2-C,4
CE,2025-09-07,S1-P2-C,8
CE,2025-09-13,S4-P2-C,8
CE,2025-09-21,S4-P3-C,4
CF,2025-09-12,S2-P3-D,8
CF,2025-09-13,S2-P3-D,4
CF,2025-09-14,S2-P3-D,8
CF,2025-09-16,S3-P3-D,10
CF,2025-09-19,S2-P4-D,4
CF,2025-09-26,S4-P4-D,4
CG,2025-09-01,S1-P1-A,12
CG,2025-09-04,S2-P1-A,10
CG,2025-09-09,S2-P2-A,4
CG,2025-09-11,S4-P1-A,10
CG,2025-09-13,S3-P2-A,4
CH,2025-09-02,S1-P1-B,12
CH,2025-09-05,S2-P1-B,4
CH,2025-09-06,S1-P2-B,8
CH,2025-09-10,S3-P1-B,4
CH,2025-09-12,S2-P3-B,4
CH,2025-09-13,S3-P2-B,8
CH,2025-09-17,S2-P3-B,8
CH,2025-09-18,S4-P3-B,12
CH,2025-09-19,S2-P4-B,8
CI,2025-09-02,S1-P1-A,4
CI,2025-09-13,S2-P3-A,10
CI,2025-09-17,S4-P3-A,8
CI,2025-09-18,S4-P3-A,10
CI,2025-09-19,S3-P3-A,10
CI,2025-09-22,S3-P4-A,10
CJ,2025-09-12,S1-P4-B,4
CJ,2025-09-15,S4-P2-B,12
CJ,2025-09-18,S2-P4-B,8
CK,2025-09-05,S1-P2-C,8
CK,2025-09-13,S2-P3-C,10
CK,2025-09-15,S4-P2-C,8
CK,2025-09-18,S2-P4-C,8
CK,2025-09-21,S3-P4-C,10
CL,2025-09-03,S1-P1-D,12
CL,2025-09-04,S2-P1-D,4
CL,2025-09-07,S2-P1-D,10
CL,2025-09-08,S3-P1-D,12
CL,2025-09-11,S4-P1-D,12
CL,2025-09-12,S4-P1-D,8
CL,2025-09-18,S4-P3-D,8
CM,2025-09-01,S1-P1-C,10
CM,2025-09-08,S2-P2-A,4
CM,2025-09-09,S3-P1-C,8
CM,2025-09-13,S2-P3-C,10
CM,2025-09-16,S3-P3-C,12
CM,2025-09-23,S4-P4-A,10
CN,2025-09-06,S2-P1-B,12
CN,2025-09-07,S2-P1-B,4
CN,2025-09-17,S4-P3-D,10
CN,2025-09-19,S2-P4-B,12
CN,2025-09-21,S3-P4-B,10
CO,2025-09-02,S1-P1-C,8
CO,2025-09-09,S1-P3-A,10
CO,2025-09-12,S4-P1-C,4
CO,2025-09-15,S4-P2-C,12
CO,2025-09-21,S4-P3-A,12
CP,2025-09-01,S1-P1-D,8
CP,2025-09-03,S1-P1-D,4
CP,2025-09-04,S2-P1-D,12
CP,2025-09-06,S1-P2-D,12
CP,2025-09-09,S3-P1-D,10
CP,2025-09-11,S3-P2-D,4
CP,2025-09-13,S1-P4-D,12
CP,2025-09-25,S4-P4-D,4
CQ,2025-09-07,S2-P1-A,4
CQ,2025-09-12,S1-P4-A,10
CQ,2025-09-14,S2-P3-A,12
CQ,2025-09-18,S3-P3-A,12
CQ,2025-09-20,S1-P4-A,10
CQ,2025-09-21,S3-P4-A,10
CR,2025-09-01,S1-P1-B,8
CR,2025-09-08,S1-P3-B,12
CR,2025-09-11,S4-P1-B,8
CR,2025-09-12,S3-P2-B,10
CR,2025-09-14,S1-P4-B,12
CR,2025-09-18,S2-P4-B,8
CR,2025-09-20,S3-P3-B,4
CR,2025-09-22,S4-P4-B,10
CS,2025-09-10,S2-P2-C,4
CS,2025-09-14,S2-P3-C,4
CS,2025-09-16,S2-P3-C,4
CS,2025-09-18,S4-P3-C,10
CS,2025-09-19,S2-P4-C,10
CS,2025-09-20,S4-P3-C,10
CS,2025-09-21,S4-P3-C,8
CT,2025-09-01,S1-P1-D,12
CT,2025-09-05,S2-P1-D,10
CT,2025-09-08,S2-P2-D,12
CT,2025-09-10,S3-P1-D,10
CT,2025-09-13,S2-P3-D,8
CT,2025-09-14,S4-P2-D,4
CT,2025-09-16,S3-P3-D,10
CT,2025-09-18,S2-P4-D,4
CT,2025-09-19,S3-P3-D,4
CT,2025-09-20,S2-P4-D,4
CU,2025-09-03,S1-P1-A,10
CU,2025-09-07,S2-P1-A,8
CU,2025-09-08,S1-P3-A,10
CU,2025-09-11,S1-P3-A,12
CU,2025-09-14,S4-P2-A,4
CU,2025-09-15,S4-P2-A,4
CU,2025-09-16,S2-P3-A,4
CU,2025-09-21,S3-P4-A,10
CU,2025-09-28,S4-P4-A,4
CV,2025-09-02,S1-P1-B,4
CV,2025-09-03,S1-P1-B,8
CV,2025-09-06,S1-P2-B,8
CV,2025-09-12,S1-P4-B,8
CV,2025-09-18,S2-P4-B,10
CV,2025-09-21,S3-P4-B,10
CW,2025-09-09,S1-P3-C,12
CW,2025-09-11,S3-P2-C,4
CW,2025-09-12,S1-P4-C,12
CW,2025-09-22,S4-P4-C,8
CW,2025-09-25,S4-P4-C,10
CX,2025-09-04,S2-P1-D,4
CX,2025-09-10,S3-P1-D,4
CX,2025-09-11,S2-P2-D,4
CX,2025-09-18,S4-P3-D,4
CX,2025-09-21,S3-P4-D,4
CX,2025-09-23,S4-P4-D,4
CY,2025-09-07,S1-P2-C,4
CY,2025-09-08,S3-P1-A,8
CY,2025-09-11,S3-P2-C,4
CY,2025-09-16,S2-P3-A,4
CY,2025-09-19,S3-P3-A,4
CY,2025-09-22,S3-P4-C,8
CY,2025-09-25,S4-P4-C,4
CZ,2025-09-04,S1-P2-D,10
CZ,2025-09-09,S3-P1-B,8
CZ,2025-09-14,S3-P2-D,8
CZ,2025-09-21,S3-P4-D,4
CZ,2025-09-22,S3-P4-D,4
DA,2025-09-02,S1-P1-C,8
DA,2025-09-04,S2-P1-C,8
DA,2025-09-05,S2-P1-C,12
DA,2025-09-06,S1-P2-A,4
DA,2025-09-07,S1-P2-A,4
DA,2025-09-11,S3-P2-C,12
DA,2025-09-22,S4-P4-A,10
DB,2025-09-05,S2-P1-D,8
DB,2025-09-08,S2-P2-B,10
DB,2025-09-09,S2-P2-D,4
DB,2025-09-13,S4-P2-D,10
DB,2025-09-15,S4-P2-B,10
DB,2025-09-22,S4-P4-B,12
DB,2025-09-23,S4-P4-B,4
