task_code,date,employee,hours
S1-P1-A,2025-09-01,AF,12
S1-P1-A,2025-09-01,AU,10
S1-P1-A,2025-09-01,BU,8
S1-P1-A,2025-09-01,CG,12
S1-P1-A,2025-09-02,CC,4
S1-P1-A,2025-09-02,CI,4
S1-P1-A,2025-09-03,BA,4
S1-P1-A,2025-09-03,CU,10
S1-P1-B,2025-09-01,AG,8
S1-P1-B,2025-09-01,AJ,12
S1-P1-B,2025-09-01,CR,8
S1-P1-B,2025-09-02,CH,12
S1-P1-B,2025-09-02,CV,4
S1-P1-B,2025-09-03,BF,4
S1-P1-B,2025-09-03,BZ,8
S1-P1-B,2025-09-03,CV,8
S1-P1-C,2025-09-01,AI,4
S1-P1-C,2025-09-01,AK,8
S1-P1-C,2025-09-01,BG,12
S1-P1-C,2025-09-01,BW,4
S1-P1-C,2025-09-01,CA,10
S1-P1-C,2025-09-01,CM,10
S1-P1-C,2025-09-02,CO,8
S1-P1-C,2025-09-02,DA,8
S1-P1-D,2025-09-01,AH,12
S1-P1-D,2025-09-01,AP,4
S1-P1-D,2025-09-01,BD,4
S1-P1-D,2025-09-01,CB,8
S1-P1-D,2025-09-01,CP,8
S1-P1-D,2025-09-01,CT,12
S1-P1-D,2025-09-03,CL,12
S1-P1-D,2025-09-03,CP,4
S1-P2-A,2025-09-05,AA,4
S1-P2-A,2025-09-05,AC,4
S1-P2-A,2025-09-05,AM,4
S1-P2-A,2025-09-06,AM,4
S1-P2-A,2025-09-06,DA,4
S1-P2-A,2025-09-07,AC,4
S1-P2-A,2025-09-07,AM,4
S1-P2-A,2025-09-07,DA,4
S1-P2-B,2025-09-04,AQ,4
S1-P2-B,2025-09-04,AX,12
S1-P2-B,2025-09-04,BN,8
S1-P2-B,2025-09-04,BR,12
S1-P2-B,2025-09-05,AX,4
S1-P2-B,2025-09-05,BB,8
S1-P2-B,2025-09-06,CH,8
S1-P2-B,2025-09-06,CV,8
S1-P2-C,2025-09-04,AV,12
S1-P2-C,2025-09-04,BO,12
S1-P2-C,2025-09-04,CE,12
S1-P2-C,2025-09-05,AL,4
S1-P2-C,2025-09-05,CE,4
S1-P2-C,2025-09-05,CK,8
S1-P2-C,2025-09-07,CE,8
S1-P2-C,2025-09-07,CY,4
S1-P2-D,2025-09-04,AR,12
S1-P2-D,2025-09-04,AW,4
S1-P2-D,2025-09-04,CZ,10
S1-P2-D,2025-09-06,BL,8
S1-P2-D,2025-09-06,CP,12
S1-P2-D,2025-09-07,AB,10
S1-P2-D,2025-09-07,AH,8
S1-P3-A,2025-09-08,AQ,8
S1-P3-A,2025-09-08,BM,4
S1-P3-A,2025-09-08,CU,10
S1-P3-A,2025-09-09,AF,4
S1-P3-A,2025-09-09,BI,8
S1-P3-A,2025-09-09,CO,10
S1-P3-A,2025-09-11,AM,8
S1-P3-A,2025-09-11,CU,12
S1-P3-B,2025-09-08,AD,8
S1-P3-B,2025-09-08,AJ,10
S1-P3-B,2025-09-08,BX,10
S1-P3-B,2025-09-08,CR,12
S1-P3-B,2025-09-09,AP,8
S1-P3-B,2025-09-09,BX,4
S1-P3-B,2025-09-10,BB,8
S1-P3-B,2025-09-10,BN,4
S1-P3-C,2025-09-08,AE,10
S1-P3-C,2025-09-08,AF,8
S1-P3-C,2025-09-08,AO,10
S1-P3-C,2025-09-09,AO,4
S1-P3-C,2025-09-09,CA,8
S1-P3-C,2025-09-09,CW,12
S1-P3-C,2025-09-11,AF,8
S1-P3-C,2025-09-11,AO,4
