Stage   | elapsed | total score                             | per-constraint (hard/medium only)
------- | ------- | --------------------------------------- | --------------------------------------------------
Stage1  | t+    8s | total=-1024000hard/0medium/-205920soft        
          block-no-underfill                            score=-1024000hard/0medium/0soft     matches=640
Stage1  | t+    8s | total=-1023920hard/0medium/-206454soft        
          block-no-underfill                            score=-1023920hard/0medium/0soft     matches=640
Stage1  | t+    8s | total=-1023911hard/0medium/-208045soft        
          block-end-within-window                       score=-3hard/0medium/0soft           matches=1
          block-no-underfill                            score=-1023840hard/0medium/0soft     matches=640
          phase-order                                   score=-68hard/0medium/0soft          matches=10
Stage1  | t+    8s | total=-1023832hard/0medium/-208834soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023760hard/0medium/0soft     matches=640
          phase-order                                   score=-68hard/0medium/0soft          matches=10
Stage1  | t+    8s | total=-1023752hard/0medium/-209691soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023680hard/0medium/0soft     matches=640
          phase-order                                   score=-68hard/0medium/0soft          matches=10
Stage1  | t+    8s | total=-1023692hard/0medium/-210352soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023600hard/0medium/0soft     matches=640
          phase-order                                   score=-88hard/0medium/0soft          matches=12
Stage1  | t+    8s | total=-1023636hard/0medium/-214322soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023440hard/0medium/0soft     matches=640
          phase-order                                   score=-192hard/0medium/0soft         matches=26
Stage1  | t+    8s | total=-1023556hard/0medium/-214813soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023360hard/0medium/0soft     matches=640
          phase-order                                   score=-192hard/0medium/0soft         matches=26
Stage1  | t+    8s | total=-1023517hard/0medium/-215657soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023280hard/0medium/0soft     matches=640
          phase-order                                   score=-233hard/0medium/0soft         matches=31
Stage1  | t+    8s | total=-1023450hard/0medium/-217415soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023200hard/0medium/0soft     matches=640
          phase-order                                   score=-246hard/0medium/0soft         matches=38
Stage1  | t+    8s | total=-1023396hard/0medium/-218507soft        
          block-end-within-window                       score=-4hard/0medium/0soft           matches=2
          block-no-underfill                            score=-1023120hard/0medium/0soft     matches=640
